type,title,abstract,date,startTime,endTime,room,
Chalk talk,Best practices for building flexible architectures across Regions [REPEAT],"As AWS continues to open new Regions worldwide, you may find yourself considering whether to migrate workloads from existing Regions or to expand your product offerings to new geographic areas. Whether you aim to improve application latency, meet evolving compliance standards, optimize costs, or tap into new markets, adopting a flexible architecture across Regions can unlock a world of opportunities. This informative chalk talk will guide you through best practices for building a flexible cloud infrastructure that can seamlessly operate across multiple AWS Regions.",12/2/24,13:00,14:00,Caesars Forum | Level 1 | Academy 411,6
Chalk talk,Effectively model costs for your serverless applications [REPEAT],"In this chalk talk, gain insights into modeling the cost of serverless applications on AWS. Learn how traditional approaches based on CPU, memory, storage, and networking costs don’t directly apply. Discover how to holistically model costs for distributed serverless architectures by considering request loads, payload sizes, and service pricing. Walk through an example serverless application architecture, and leave with practical knowledge for accurately estimating costs tailored to modern, serverless application designs.",12/2/24,16:00,17:00,Caesars Forum | Level 1 | Academy 411,7
Chalk talk,Optimize performance and cost for archival data in Amazon S3,"Amazon S3 storage classes deliver the best price-performance object storage and are uniquely architected to deliver industry-leading functionality. In this chalk talk, learn how to analyze data access frequencies with native S3 tools, optimize archival storage using the S3 Glacier storage classes, and automate storage cost savings with S3 Lifecycle policies and S3 Intelligent-Tiering. Also explore how to get the best price-performance and integrate data restore processes into applications when designing and implementing archival restore workflows for data in the S3 Glacier storage classes, including through the use of S3 Batch Operations to make restores even faster and S3 Event Notifications to increase process efficiency. ",12/2/24,13:30,14:30,Caesars Forum | Level 1 | Academy 414,4
Chalk talk,A capability-oriented approach to defining your cloud architecture [REPEAT],"When you’re architecting workloads, you have a choice of over 200 AWS services. However, it doesn’t have to be overwhelming to pick the right services for your architecture. By defining your workload in terms of the capabilities required by your system, a combination of functional and nonfunctional requirements, you can simplify your choices. By defining your system’s important differentiating characteristics, you will find yourself naturally aligning the right AWS services to the capabilities required by your system. In this chalk talk, learn how to organize your system by capabilities and discover the architectural characteristics to pick the right services for those capabilities.",12/2/24,15:00,16:00,Caesars Forum | Level 1 | Alliance 305,1
Lightning talk,A proactive approach to secrets management at scale,"Keep your secrets to yourself. Whether it’s AWS access keys with over-privileged permissions or database passwords hardcoded into your applications, compromised credentials are the most common technique threat actors use to gain unintended access to applications and sensitive data. In this lightning talk, learn strategies you can implement to identify and vault secrets early in the software development lifecycle. Then, explore how you can use vaulted secrets without exposing them. Hear best practices, and discover both traditional and generative AI–based approaches to secrets management.",12/4/24,12:00,12:20,Venetian | Hall B | Expo | Theater 5,
Builders' Fair,A visual guessing game using generative AI [REPEAT],"Come play the generative AI drawing game where a human sketches and AI guesses. Powered by Amazon Bedrock and LLMs, a human doodles objects and scenes on a whiteboard while the AI bot tries to guess what the doodle represents before the timer ends in order to access the next level. The AI bot utilizes previous guesses to inform its next guess, adapting based on feedback. This demonstrates the LLM’s ability to learn and understand visual inputs through an interactive game.",12/3/24,10:00,18:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 15,
Builders' Fair,A visual guessing game using generative AI [REPEAT],"Come play the generative AI drawing game where a human sketches and AI guesses. Powered by Amazon Bedrock and LLMs, a human doodles objects and scenes on a whiteboard while the AI bot tries to guess what the doodle represents before the timer ends in order to access the next level. The AI bot utilizes previous guesses to inform its next guess, adapting based on feedback. This demonstrates the LLM’s ability to learn and understand visual inputs through an interactive game.",12/2/24,16:00,19:00,Venetian | Level 2 | Hall B | Expo | Booth #2034 | Project 15,
Chalk talk,Accelerating event-driven architecture with event storming [REPEAT],"Event-driven architectures are experiencing a renaissance. While getting started is not difficult, builders may encounter challenges on their journeys. Domain-driven design is a tool that can help, but many developers are unfamiliar with how to get started. In this chalk talk, learn about a general framework that uses domain-driven design to think through, design, and build cloud-native event-driven architectures.",12/2/24,10:30,11:30,Caesars Forum | Level 1 | Alliance 305,5
Code talk,Resilience solutions for cohesive application protection,"AWS services often have their own resiliency solutions. However, applications can span multiple AWS resources and creating a unified runbook for addressing business continuity events can be daunting. In this code talk, discover several common architectures comprising multiple AWS services resources and learn the best ways to create cohesive and simple resiliency plans.",12/5/24,12:30,13:30,Wynn | Convention Promenade | Margaux 1,4
Chalk talk,Building modern API architectures: Which front door should I use? [REPEAT],"Architects have a number of options for building modern APIs, including REST, GraphQL, and real-time APIs. In this chalk talk, explore these options along with their benefits and drawbacks. The talk then covers practical use cases that show how to implement each style of API on AWS, including using managed services such as Amazon API Gateway, AWS IoT, and AWS AppSync.",12/2/24,12:00,13:00,Caesars Forum | Level 1 | Alliance 305,4
